1,2,3,4,5,6,7,8,9,10,11
360,477,139,202,69,979,496,720,665,620,787
392,283,737,867,944,166,763,491,418,171,36
448,303,436,596,678,389,87,587,156,421,353
54,1,71,478,268,720,924,790,550,905,348
376,314,51,24,926,977,496,717,301,701,481
293,470,285,586,605,495,89,249,454,163,25
660,754,140,345,189,998,85,541,457,673,981
668,263,522,242,608,975,152,817,821,828,128
512,341,701,173,654,119,42,0,10,701,159
604,289,820,529,841,221,880,914,315,531,23
480,162,889,45,391,736,152,697,543,654,656
349,955,193,400,901,682,420,862,123,812,570
566,198,451,718,993,487,73,891,313,401,155
506,241,376,800,453,892,63,828,701,659,754
364,186,421,372,410,714,920,628,550,167,157
594,574,736,669,281,552,638,526,639,158,30
77,563,183,917,568,903,702,281,334,3,15
541,448,545,722,804,398,49,959,933,227,581
896,710,418,129,900,887,631,59,224,606,645
906,513,863,694,732,640,94,100,879,657,83
295,374,307,172,32,872,122,668,990,885,823
25,646,413,526,587,250,4,276,804,878,10
290,570,829,592,507,235,91,875,56,443,910
555,508,483,418,960,702,135,796,757,83,386
693,358,475,718,903,688,270,227,417,158,935
620,247,463,172,315,787,19,70,25,583,466
380,826,468,657,258,866,918,165,383,462,15
446,192,855,353,278,778,71,707,774,230,361
119,273,276,346,768,169,922,706,779,556,941
736,508,172,25,622,418,91,851,596,362,994
267,357,140,660,609,376,153,528,205,390,294
69,725,341,52,404,323,545,795,562,97,832
115,146,963,117,418,847,879,881,952,626,411
800,551,901,146,164,543,393,239,682,483,82
140,570,321,487,498,402,292,270,964,331,694
271,747,686,96,623,477,913,413,403,693,847
506,916,358,136,752,67,940,323,969,427,491
975,529,949,656,806,931,163,358,855,75,168
76,285,426,703,415,155,413,551,715,407,169
289,634,90,280,950,149,487,53,591,52,976
465,696,891,328,536,475,342,471,156,940,728
632,173,739,931,493,744,536,559,512,21,439
365,211,959,774,434,630,877,939,843,637,83
696,257,723,39,695,209,751,964,906,89,577
814,726,461,141,474,163,63,657,681,299,398
527,787,781,310,889,399,486,835,311,125,248
733,843,710,617,968,346,926,793,300,278,597
993,15,130,83,673,86,194,229,669,296,413
800,245,607,419,368,693,784,631,350,848,313
961,73,834,782,582,288,706,853,132,534,276
942,528,961,616,722,618,503,492,866,620,512
62,300,390,433,442,870,801,642,7,341,834
977,805,590,387,16,409,45,772,155,939,149
561,146,533,299,443,336,197,50,233,841,52
528,142,293,853,315,974,826,357,561,204,714
543,26,563,485,484,826,109,846,259,86,789
527,708,680,442,377,359,208,483,976,298,9
268,430,597,89,807,781,705,260,431,825,660
668,958,96,810,716,896,658,155,603,202,185
399,261,2,249,55,268,908,648,35,904,643
383,318,640,1,144,492,693,581,481,248,549
227,861,371,564,793,378,467,461,731,991,563
958,738,512,98,490,195,560,723,648,390,566
171,14,580,617,180,607,942,765,188,447,706
502,403,97,106,18,948,52,471,581,511,479
623,796,536,943,832,965,472,307,844,345,495
867,100,860,59,671,76,279,312,289,690,15
198,702,55,675,332,679,387,927,398,108,252
814,863,917,675,439,857,241,252,435,697,361
699,177,251,480,7,809,396,53,407,963,932
581,909,560,736,239,990,495,34,599,862,379
176,846,423,297,824,629,527,547,984,264,822
545,715,14,258,404,195,50,272,64,705,422
170,425,117,326,668,68,367,313,557,936,611
781,572,425,484,690,707,287,104,598,227,429
233,357,475,43,8,660,855,135,715,7,912
676,451,134,977,388,188,501,173,199,290,595
986,639,963,362,166,341,313,815,723,233,739
117,707,842,542,3,427,55,84,184,189,812
952,4,837,92,328,450,61,356,102,837,671
508,518,305,444,979,658,302,5,938,611,485
394,136,275,481,178,115,79,214,485,581,260
900,664,242,569,665,799,264,810,551,145,401
943,730,541,993,2,370,967,530,816,731,855
277,184,784,338,108,677,105,592,377,856,241
385,991,531,5,524,637,458,487,959,86,874
744,446,209,316,311,618,679,285,74,791,27
179,653,107,155,464,481,907,658,46,791,946
310,772,755,666,421,849,283,551,358,299,210
15,958,949,2,801,226,137,79,422,647,905
531,463,308,471,1,500,362,42,592,848,690
886,121,926,942,65,207,579,810,774,959,823
405,491,229,565,558,811,697,824,781,804,545
475,966,404,841,122,411,528,489,738,327,737
595,361,684,6,116,396,440,592,668,882,550
658,430,659,150,916,977,804,194,382,113,582
118,519,193,171,716,653,505,758,284,992,327
469,636,69,922,580,772,641,962,661,875,785
71,39,513,202,256,918,940,449,140,881,451
481,215,795,721,365,458,827,557,564,900,969
8,857,584,878,831,449,645,794,44,0,724
935,685,724,533,678,666,852,634,171,439,260
304,213,711,989,900,398,288,455,764,290,998
610,891,530,651,918,13,118,136,630,152,605
608,408,514,29,160,225,325,543,559,815,626
586,583,458,91,895,226,144,786,234,823,962
423,684,658,171,349,109,590,745,769,561,988
854,239,366,508,536,973,122,598,593,410,791
519,512,137,816,822,250,192,708,591,466,724
447,216,843,72,631,165,228,683,650,832,405
795,681,120,160,705,441,903,337,737,876,803
333,82,217,837,908,888,663,721,767,740,687
314,750,985,907,556,697,704,701,326,818,925
82,251,682,278,267,903,456,903,446,764,347
845,306,999,86,520,922,437,652,762,726,181
199,509,876,823,434,777,502,398,308,495,555
264,111,7,823,7,400,330,55,522,126,912
776,135,197,437,108,557,913,159,825,491,666
20,199,11,641,318,243,710,944,885,543,426
276,168,303,62,925,823,962,973,766,587,377
202,275,384,517,143,962,346,738,474,773,822
648,769,239,195,744,757,560,682,540,480,113
718,748,637,719,976,260,428,185,128,647,823
711,497,922,458,770,102,593,692,316,697,353
237,42,682,325,729,734,691,629,773,560,507
147,161,823,398,955,378,430,963,212,536,217
508,38,328,567,914,594,421,701,825,242,347
920,875,991,40,351,319,696,659,51,585,129
523,616,526,796,273,991,281,394,223,14,237
176,563,717,414,467,259,274,663,153,809,965
444,175,797,448,621,146,807,529,355,942,432
897,74,679,679,192,826,518,553,479,664,631
595,497,798,502,121,449,765,692,428,590,146
307,783,553,33,427,92,444,865,356,534,223
338,904,82,699,788,262,355,184,598,967,964
113,160,470,31,371,116,404,375,584,326,713
897,639,231,929,775,857,262,419,571,264,34
329,182,611,815,2,960,945,35,635,825,653
714,86,435,400,684,992,427,219,622,88,865
332,808,69,863,824,765,614,773,137,45,371
864,226,691,464,37,594,88,302,214,950,639
833,42,603,87,880,255,728,734,611,41,247
211,400,486,433,615,59,628,236,276,980,347
345,235,78,447,792,137,743,347,151,374,311
717,294,294,109,877,144,345,730,242,314,593
741,154,781,193,572,318,979,788,697,234,150
362,574,593,728,54,529,980,235,507,901,343
509,148,772,803,56,608,917,519,793,705,866
827,28,706,401,395,682,935,997,992,241,596
843,792,347,818,337,879,44,877,9,534,120
393,71,489,542,245,579,731,306,189,137,21
242,673,620,11,360,193,768,813,910,309,726
945,314,18,470,520,389,647,556,170,263,887
143,285,818,405,220,688,958,331,837,456,402
352,343,821,437,682,225,26,308,816,865,130
905,334,129,609,790,22,820,257,773,684,183
20,938,296,755,668,865,808,731,687,981,828
351,21,366,173,102,153,330,212,172,447,82
452,719,467,843,742,636,674,895,678,215,844
886,979,118,585,553,516,434,424,444,939,589
994,208,102,365,611,506,312,21,67,38,243
174,300,141,407,192,898,554,742,446,941,995
80,481,225,896,170,791,239,411,431,293,744
790,385,776,801,710,374,510,734,655,426,991
508,134,589,189,917,122,606,674,26,37,163
162,955,98,635,2,163,150,690,100,676,108
822,710,812,989,157,389,606,878,904,77,312
253,906,613,825,584,526,231,607,32,219,517
371,70,219,619,651,803,420,835,212,246,279
144,432,275,451,385,179,490,229,929,13,46
619,172,888,380,769,881,686,546,108,366,231
692,854,7,93,829,961,924,89,256,729,154
521,632,754,273,58,849,428,900,271,569,918
742,368,483,208,470,699,231,329,851,949,107
461,878,364,814,574,956,479,534,403,152,669
673,569,273,398,594,203,148,38,848,912,369
321,824,277,921,461,393,175,261,61,288,787
373,323,532,551,754,589,325,867,803,288,392
706,179,598,476,397,798,382,403,470,374,863
371,336,701,834,168,87,406,759,810,310,806
884,438,953,180,431,444,492,318,112,558,719
239,244,987,871,344,444,669,85,601,965,987
812,691,206,14,62,676,367,669,303,883,858
873,52,990,381,98,555,916,681,72,820,106
335,794,791,813,755,739,332,129,712,76,236
457,220,52,48,363,953,574,356,311,303,881
704,990,699,829,972,263,854,656,535,693,880
19,973,489,424,588,904,293,370,220,542,833
325,121,887,601,351,163,768,460,546,470,575
799,387,531,958,572,929,418,443,607,496,986
442,0,8,426,682,86,218,120,515,736,369
256,949,267,804,843,354,656,908,833,59,94
963,426,601,766,131,76,960,649,158,628,501
823,501,505,91,826,411,726,588,652,105,383
554,544,703,669,540,974,912,491,63,516,187
184,460,8,470,926,51,541,51,588,468,683
145,557,777,233,960,913,634,208,154,128,340
315,653,446,108,221,344,685,703,218,401,234
436,581,96,436,295,746,634,253,781,100,522
820,248,509,213,968,991,75,550,328,21,369
856,428,11,47,749,349,806,850,434,159,742
226,62,720,403,819,21,432,888,505,165,535
618,841,926,794,719,131,469,173,274,325,984
423,111,830,791,939,62,892,599,530,909,131
448,531,4,964,948,98,862,790,623,768,225
620,242,949,239,526,894,276,950,536,774,232
827,99,942,374,139,814,362,387,62,977,418
268,501,435,869,77,832,220,820,544,72,738
662,943,170,671,902,228,724,573,688,469,918
921,848,513,276,110,255,230,477,262,693,239
737,538,879,220,33,907,846,342,138,851,304
201,690,8,918,839,332,812,230,344,480,943
296,584,944,216,664,175,163,825,156,105,28
243,204,18,912,920,305,389,632,823,193,868
44,159,395,547,742,218,161,810,705,250,14
789,0,300,38,977,945,159,821,135,114,130
730,659,148,7,266,509,592,717,921,375,333
553,383,969,952,469,640,725,342,621,450,460
122,78,40,17,614,45,139,753,340,991,496
437,425,760,49,475,867,994,862,7,497,365
677,653,325,578,12,648,453,619,913,490,121
89,17,715,197,647,848,940,170,490,281,14
779,835,844,373,189,475,131,966,844,128,643
467,304,387,194,99,47,798,9,375,121,386
229,572,19,246,916,718,593,199,901,835,639
360,53,956,124,13,970,900,798,418,749,850
937,276,806,67,158,659,607,484,237,776,532
118,841,699,371,187,403,9,912,666,619,345
769,227,435,792,725,745,513,886,619,645,268
221,567,133,450,260,692,894,235,145,303,706
139,938,299,265,278,476,217,550,96,874,213
652,895,321,283,261,335,887,209,812,875,959
29,813,433,49,756,293,944,539,327,807,830
240,419,597,526,744,29,87,763,761,316,414
185,620,668,3,807,954,121,570,806,787,108
777,829,596,655,878,184,636,241,562,221,27
662,159,464,653,620,992,486,376,240,956,452
618,597,723,397,411,971,806,667,365,528,191
513,329,689,271,516,106,164,782,887,648,76
246,417,655,197,843,506,506,431,484,438,188
881,309,614,5,619,683,66,773,755,734,916
99,215,225,743,270,500,908,921,661,788,493
425,544,622,200,284,516,794,892,849,481,487
719,532,445,689,371,402,639,1,957,878,253
674,865,193,871,611,856,635,847,591,164,885
874,505,306,294,433,298,34,526,337,301,566
849,223,490,379,751,691,171,952,8,952,859
708,364,164,993,406,147,150,667,28,384,964
837,204,362,336,785,195,867,304,569,670,942
820,54,396,391,327,365,214,361,283,333,921
239,350,545,866,803,371,668,805,547,66,900
960,412,529,868,661,382,227,266,928,167,270
638,519,268,50,826,793,61,2,605,490,596
302,487,537,457,678,209,550,264,359,601,772
78,370,701,938,329,653,441,99,772,502,439
922,837,609,47,86,130,391,58,554,480,895
664,269,904,814,427,859,51,248,726,307,74
33,367,850,159,290,770,618,107,421,535,638
689,762,107,554,633,403,784,360,227,689,616
391,528,867,391,797,601,108,317,353,310,548
415,419,506,391,25,228,887,573,960,365,793
50,374,56,823,157,933,191,15,754,734,662
661,377,533,22,691,713,814,397,209,851,672
86,539,574,359,243,93,60,88,980,984,720
215,59,435,178,576,21,434,653,425,33,101
900,189,77,222,339,235,742,895,756,79,679
508,358,585,313,373,65,941,31,42,217,451
706,14,689,758,934,469,903,91,123,871,389
332,582,200,208,512,570,577,927,18,654,427
850,342,363,856,719,364,941,708,87,331,153
508,772,335,347,437,408,887,443,442,67,799
127,832,706,648,313,858,308,594,946,262,723
248,347,599,528,97,207,572,253,480,342,952
903,792,80,934,852,317,249,547,720,805,886
894,178,867,942,939,415,162,718,655,349,53
853,185,106,470,435,232,533,672,97,573,262
564,379,536,22,144,642,592,833,536,902,722
858,993,163,541,918,561,800,493,329,232,14
700,688,116,400,35,461,763,326,599,269,501
725,305,961,202,735,499,6,47,67,126,866
595,986,567,101,891,408,97,508,213,481,619
613,841,912,533,47,277,318,424,698,814,388
224,667,997,746,223,544,526,109,807,890,818
768,119,884,634,708,207,101,663,745,308,439
173,620,217,990,338,753,290,533,966,299,954
491,896,245,127,664,13,471,825,515,380,540
279,335,10,729,454,803,481,62,84,985,148
971,89,883,973,625,510,92,91,58,864,832
59,351,84,888,475,443,799,445,808,394,268
101,764,254,136,785,311,963,134,802,250,185
539,855,649,966,968,744,181,119,320,377,76
152,138,378,321,747,175,908,762,184,990,410
865,24,345,328,679,287,260,199,106,325,556
715,926,638,969,465,686,569,532,740,19,388
482,668,229,138,982,405,468,159,844,666,321
88,840,468,9,733,810,866,910,455,461,195
434,184,810,342,152,364,239,237,720,557,452
970,634,751,330,812,531,16,462,504,868,947
239,893,41,36,393,140,59,372,102,611,27
165,122,948,394,412,633,924,425,394,676,760
507,329,871,740,115,203,190,768,272,727,734
945,409,744,665,964,937,329,404,859,13,363
781,350,738,671,923,214,180,547,702,591,277
309,242,494,932,360,227,447,657,265,362,918
847,922,130,868,140,904,997,441,878,939,410
570,217,263,350,852,642,682,264,113,433,312
743,604,868,187,845,424,237,649,730,123,428
565,768,282,873,215,159,371,794,727,223,105
208,379,747,740,833,963,949,644,373,650,780
435,479,538,651,654,140,294,685,114,954,299
426,793,788,407,487,880,422,304,633,121,567
483,964,963,781,727,360,724,75,158,426,381
27,104,512,472,334,153,529,37,193,558,200
442,131,103,203,358,935,644,635,112,906,141
213,350,956,682,558,141,106,978,150,978,724
680,428,697,25,429,249,16,926,172,410,973
796,13,329,412,738,846,975,205,79,841,478
90,971,393,480,855,249,487,118,764,951,541
478,463,795,264,231,814,291,923,363,432,322
423,439,664,662,50,184,595,413,303,220,517
871,663,185,112,625,217,229,556,449,234,139
425,475,570,462,474,314,506,319,986,900,612
11,525,244,34,468,411,629,760,812,206,481
604,165,851,951,887,76,632,351,748,538,390
502,406,479,95,222,331,47,835,693,776,341
437,772,914,799,227,51,53,184,869,835,366
530,789,920,145,978,618,700,525,916,944,359
113,153,248,398,200,950,827,853,152,79,300
115,522,132,953,332,410,520,77,292,364,869
411,616,622,387,243,319,762,952,329,525,579
67,927,650,916,391,583,732,97,766,961,979
805,854,751,179,721,369,195,784,848,723,793
826,186,333,189,814,124,142,402,266,18,991
713,825,980,697,291,2,674,419,386,902,25
7,952,260,785,351,509,393,866,274,338,931
618,673,513,614,457,738,989,482,56,109,940
854,707,792,859,237,930,755,990,659,787,783
291,294,931,373,449,368,470,211,917,104,361
552,178,746,265,204,378,83,509,438,585,28
607,338,105,728,712,43,32,621,972,700,332
365,208,862,585,677,585,283,2,141,550,120
38,806,886,168,128,48,193,541,276,798,940
534,132,674,722,431,476,219,540,967,93,602
889,801,584,512,442,389,350,514,5,376,124
257,728,488,785,880,85,484,315,978,557,859
993,674,674,424,174,896,916,793,30,732,459
32,174,797,227,838,617,231,928,488,649,837
14,920,941,155,627,783,777,959,819,506,259
273,894,856,177,211,708,584,28,949,396,288
819,137,619,208,759,221,672,140,196,558,635
836,5,628,162,727,737,911,468,201,421,818
680,74,895,895,823,586,609,708,743,458,988
134,544,615,378,947,285,781,72,762,204,876
869,296,482,881,819,710,209,572,635,545,366
706,126,468,891,206,415,155,631,74,327,564
724,610,877,655,781,512,765,224,123,149,899
554,531,304,766,118,488,645,512,88,644,567
701,91,695,453,428,540,278,103,285,960,169
557,11,721,949,848,412,922,435,296,907,528
905,119,649,306,906,701,9,132,569,171,966
282,608,451,651,118,759,510,256,230,847,784
599,64,354,838,163,573,263,308,497,586,392
93,997,979,240,782,194,630,968,867,904,960
568,63,260,978,250,3,677,7,927,355,952
323,795,894,115,55,569,25,178,737,749,852
123,32,434,538,393,809,473,535,254,591,70
286,192,809,74,345,795,418,670,805,565,487
167,760,128,902,938,612,715,92,420,198,746
179,966,797,30,692,311,572,276,747,227,95
521,452,381,98,80,950,142,338,753,685,889
268,954,898,443,531,775,982,815,320,185,16
136,930,821,995,609,969,446,765,838,842,403
290,844,480,219,345,446,432,401,237,203,628
309,701,789,303,209,903,603,751,695,719,126
457,277,313,602,221,21,337,45,517,32,213
967,894,524,139,324,492,823,45,589,595,571
475,238,416,275,335,47,513,876,637,399,796
636,486,167,393,41,359,727,173,909,907,450
637,898,853,133,739,665,541,314,747,874,330
310,859,982,474,482,610,55,90,56,678,579
245,805,206,843,537,132,799,32,641,937,989
383,128,729,110,403,934,375,762,937,191,347
14,864,836,943,842,851,952,902,31,660,823
336,71,170,405,803,432,600,508,194,162,381
702,806,975,809,359,54,541,842,582,32,495
21,933,688,659,204,901,267,535,433,570,380
349,705,0,596,753,206,658,305,971,48,254
862,813,779,867,281,119,180,246,529,931,861
314,715,876,308,988,296,225,546,745,13,280
340,910,877,399,114,301,160,304,602,80,202
514,258,216,116,297,5,715,635,549,553,503
519,153,331,183,871,709,886,283,595,506,898
32,858,363,528,961,893,298,14,462,550,170
129,217,497,994,832,589,801,570,945,307,59
741,532,624,139,771,533,474,672,451,261,623
345,532,903,215,569,918,31,16,129,454,811
752,934,829,268,379,47,629,792,377,141,678
246,542,227,842,652,297,806,993,126,813,949
192,595,271,652,824,615,853,957,2,845,379
505,776,316,184,468,633,432,758,783,140,199
572,966,643,554,902,287,6,310,991,349,754
916,368,345,932,284,528,692,107,802,488,789
379,373,902,225,640,682,681,788,161,544,237
334,727,873,353,170,171,59,340,804,282,555
887,406,17,926,257,444,120,566,215,126,879
371,970,509,499,886,222,709,8,868,771,174
150,257,989,842,292,75,907,645,461,483,418
605,488,561,792,743,357,284,884,824,866,667
923,839,114,527,792,599,422,906,79,878,314
551,136,351,828,312,943,834,339,37,801,451
816,130,956,226,962,106,511,102,192,937,882
562,911,402,280,649,449,772,648,840,189,806
797,646,446,944,373,10,823,838,101,423,395
560,210,595,839,109,642,60,862,867,188,661
522,541,585,882,238,891,354,148,439,284,460
79,166,125,486,254,488,312,574,199,866,542
65,176,824,543,536,971,930,335,122,221,919
919,579,629,163,431,957,586,618,510,512,262
354,492,551,337,207,552,400,170,970,184,667
596,50,961,760,123,406,201,694,228,501,276
591,272,889,993,396,674,963,0,978,337,324
485,722,424,930,521,319,709,554,135,201,290
255,404,652,916,361,841,784,392,865,970,931
961,98,556,236,548,545,886,604,978,632,789
542,943,114,366,3,331,282,34,868,794,541
391,231,890,611,469,645,851,754,167,73,934
112,575,520,305,254,263,905,976,276,113,720
468,683,44,209,325,630,265,694,282,516,534
309,90,726,369,379,598,26,207,158,716,19
664,623,741,858,296,242,685,362,446,447,822
214,320,934,314,506,765,589,706,569,323,177
881,952,451,754,471,987,504,75,156,991,315
625,498,44,350,222,530,964,321,332,399,38
167,579,531,911,761,366,367,984,303,730,653
997,595,899,443,495,85,110,846,171,787,894
179,672,846,493,912,245,100,538,534,381,55
327,811,836,371,224,768,26,763,694,864,935
926,813,391,782,109,29,688,932,155,856,242
319,699,416,449,73,387,494,213,917,249,53
601,413,298,680,680,577,767,127,43,970,673
564,18,286,276,887,674,545,902,586,668,191
625,102,573,475,532,579,50,701,529,400,129
731,293,355,372,282,871,557,801,774,882,560
693,17,493,533,478,393,696,623,927,676,170
163,53,164,627,134,29,524,578,653,588,13
968,301,562,345,617,92,309,793,466,789,203
545,661,289,522,863,100,902,90,864,152,395
477,752,872,43,234,890,495,28,774,617,168
983,155,949,622,731,677,392,622,983,873,114
613,866,915,610,164,640,899,797,307,733,815
17,869,848,345,384,700,737,700,932,132,320
335,691,323,451,390,945,163,622,463,311,405
641,594,378,428,226,715,143,60,995,614,936
142,288,754,12,510,209,390,968,538,604,62
939,876,372,370,175,349,826,273,769,731,223
416,708,736,722,73,769,587,990,411,816,335
925,265,614,495,247,194,323,439,957,909,695
629,700,618,396,318,670,4,691,32,528,733
955,191,858,126,886,84,915,16,76,474,119
252,971,492,89,700,595,798,928,470,580,336
278,301,145,928,772,604,901,779,92,297,639
860,269,816,254,996,63,592,661,94,112,308
277,335,154,939,803,618,694,351,478,638,32
235,789,576,679,843,879,442,372,237,757,610
777,179,454,970,663,763,99,374,190,522,303
161,857,356,266,157,136,426,386,572,690,846
608,72,815,592,783,345,282,469,88,557,35
868,74,64,14,483,611,694,310,383,734,999
190,108,471,615,752,420,209,386,831,410,207
568,768,250,987,860,327,105,836,264,355,121
488,894,634,205,321,848,781,559,386,264,366
233,947,518,597,121,276,636,460,100,816,712
706,223,80,947,98,986,364,323,14,272,808
746,857,381,562,828,386,72,357,135,253,11
684,408,758,507,90,165,962,687,170,12,585
494,856,507,343,161,551,330,224,677,680,637
147,439,924,3,4,882,470,533,703,776,404
632,405,46,514,464,790,153,36,519,371,710
21,857,775,937,496,632,521,275,823,150,766
701,750,290,812,509,692,560,355,583,776,796
673,182,677,383,947,40,304,97,27,715,42
815,932,495,114,777,108,920,703,809,779,577
353,751,118,942,898,964,22,125,378,866,260
640,253,66,745,421,575,342,524,138,636,590
214,900,148,900,849,457,955,803,896,606,61
842,764,207,838,296,787,666,268,275,838,44
482,279,375,527,606,128,486,912,576,566,626
814,359,430,153,27,150,673,891,921,124,227
634,427,421,947,411,271,698,718,199,478,80
960,439,189,145,192,520,440,219,154,531,464
104,320,899,602,277,636,368,84,529,492,615
509,830,710,128,317,324,352,435,924,332,334
945,574,86,758,237,218,476,19,561,856,107
958,220,760,584,776,669,668,586,882,208,878
20,407,596,182,692,818,576,898,276,762,256
132,529,620,346,419,684,343,485,163,899,609
156,638,857,251,925,994,919,934,945,287,901
761,105,275,567,193,180,530,905,799,800,345
43,412,62,649,20,66,856,166,348,205,757
959,88,313,934,824,769,140,828,788,352,136
90,121,946,444,600,270,432,896,368,483,598
235,457,389,287,907,97,956,276,434,848,578
732,817,320,609,625,957,691,730,383,860,361
524,941,846,1,29,561,963,38,143,754,561
888,600,828,55,216,990,248,560,837,781,587
63,164,571,308,881,659,198,251,98,943,968
441,402,180,631,726,519,386,751,640,601,325
377,254,246,290,181,664,988,722,534,234,943
207,36,247,413,140,952,164,15,630,539,786
595,556,870,460,582,966,706,354,142,426,608
551,450,148,561,586,81,46,302,523,522,292
402,249,972,737,521,102,36,321,320,796,603
868,550,283,576,749,527,960,500,463,365,234
961,751,148,373,117,871,547,178,710,139,983
110,756,362,581,939,512,838,299,316,264,939
917,695,176,43,795,745,761,74,96,659,729
573,501,829,277,12,404,158,81,451,164,323
125,654,454,586,174,684,701,82,780,876,786
651,681,73,173,97,666,278,77,792,666,984
313,443,305,795,343,664,792,842,528,185,927
384,145,338,250,592,172,48,851,545,18,876
704,682,233,709,177,364,450,371,716,466,675
564,365,734,946,10,851,793,619,372,349,29
866,448,654,754,338,213,910,505,360,991,721
575,873,533,232,939,689,368,436,26,513,121
907,859,102,463,793,262,809,268,905,739,598
437,382,991,178,771,633,164,798,606,740,440
852,941,509,363,211,214,285,355,987,87,350
112,142,571,420,901,140,911,122,590,617,764
830,850,788,930,124,837,539,632,209,14,13
527,326,434,438,56,361,951,936,382,228,654
970,904,344,150,826,555,911,314,594,871,937
840,715,200,832,736,654,772,286,991,124,119
615,839,131,617,117,671,771,276,406,230,790
840,682,569,945,955,669,137,365,742,589,699
51,643,606,929,116,862,935,712,62,94,892
139,48,287,276,273,291,282,915,593,613,682
141,22,677,694,655,533,164,76,607,398,752
592,808,82,908,742,484,731,191,745,660,743
768,163,118,241,804,950,191,572,449,861,499
839,556,161,22,586,445,813,860,556,897,373
836,205,643,296,476,859,593,342,21,294,78
134,763,805,699,871,499,927,320,539,216,897
337,368,168,783,820,815,423,845,95,138,290
44,789,348,986,643,392,678,974,228,567,756
218,566,628,330,691,320,12,332,405,521,808
399,744,610,871,281,259,242,746,564,811,320
867,370,273,375,724,804,165,808,719,783,527
949,613,89,705,894,7,469,136,206,215,768
388,893,884,239,577,795,520,283,939,433,199
155,825,198,403,46,102,675,384,431,956,8
712,527,642,307,330,222,525,229,623,301,181
329,19,92,49,996,370,853,608,776,798,762
551,241,506,682,260,853,664,55,122,255,918
869,317,415,712,745,418,475,82,914,697,256
293,394,429,702,940,527,625,736,891,559,984
210,209,563,761,184,532,107,907,502,981,852
977,762,314,933,396,715,17,58,780,957,361
296,389,645,604,819,592,672,999,254,224,663
707,385,992,75,969,450,955,143,156,771,542
990,533,92,478,788,77,155,862,571,652,473
194,701,152,185,673,195,411,106,504,153,849
810,303,39,347,183,310,888,836,428,78,487
3,761,967,818,335,647,719,93,386,449,667
843,625,755,210,685,245,195,951,869,918,522
273,622,592,925,392,22,475,690,645,210,432
439,845,104,782,971,360,489,878,226,503,908
456,161,939,221,594,962,251,222,432,348,567
642,43,243,270,7,697,491,578,218,404,732
31,149,997,382,188,121,987,528,238,614,346
768,57,976,493,119,570,577,798,122,175,904
98,41,131,512,609,66,276,438,965,238,446
510,969,91,916,442,555,529,712,559,8,224
173,908,793,421,857,18,564,99,392,589,147
419,537,99,91,160,86,31,957,294,841,609
557,247,821,557,987,813,976,413,269,540,643
523,535,462,0,182,718,926,697,676,39,414
801,964,181,184,552,733,564,302,697,629,861
517,930,742,945,852,91,918,835,966,461,772
208,145,477,689,149,636,420,971,390,868,868
478,859,227,858,799,439,543,387,629,375,211
106,963,981,38,77,854,541,967,469,774,79
486,673,802,334,128,638,407,540,930,261,969
919,352,165,27,718,659,715,313,327,16,771
312,944,380,582,692,167,368,410,56,614,415
36,584,33,973,899,728,718,186,724,358,349
914,776,796,648,640,837,799,788,444,816,578
492,43,992,680,219,670,304,242,786,745,707
